"MacroTrends Data Download"
"Dow Jones - DJIA - 100 Year Historical Chart"
"Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base."

"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


date,real,nominal
1915-01-01,1520.98,56.540
1915-02-01,1494.89,55.020
1915-03-01,1669.42,60.830
1915-04-01,1950.26,71.780
1915-05-01,1748.83,65.010
1915-06-01,1884.68,70.060
1915-07-01,2031.83,75.530
1915-08-01,2184.36,81.200
1915-09-01,2436.69,90.580
1915-10-01,2539.57,95.340
1915-11-01,2551.02,96.710
1915-12-01,2615.38,99.150
1916-01-01,2366.40,90.580
1916-02-01,2378.16,91.030
1916-03-01,2412.94,93.250
1916-04-01,2297.91,89.650
1916-05-01,2330.99,91.800
1916-06-01,2253.56,89.580
1916-07-01,2245.26,89.250
1916-08-01,2299.42,92.250
1916-09-01,2539.00,103.730
1916-10-01,2515.24,104.610
1916-11-01,2503.65,105.970
1916-12-01,2225.09,95.000
1917-01-01,2216.08,95.430
1917-02-01,2073.01,91.560
1917-03-01,2189.84,96.720
1917-04-01,2010.32,93.230
1917-05-01,2066.99,97.380
1917-06-01,1993.44,95.380
1917-07-01,1947.49,91.750
1917-08-01,1743.06,83.400
1917-09-01,1704.92,83.460
1917-10-01,1499.39,74.500
1917-11-01,1462.15,72.650
1917-12-01,1475.10,74.380
1918-01-01,1548.68,79.800
1918-02-01,1549.03,80.390
1918-03-01,1482.89,76.410
1918-04-01,1483.08,77.510
1918-05-01,1463.06,78.080
1918-06-01,1526.33,82.580
1918-07-01,1461.57,81.230
1918-08-01,1454.84,82.460
1918-09-01,1465.39,84.680
1918-10-01,1452.05,85.510
1918-11-01,1348.94,80.930
1918-12-01,1353.51,82.200
1919-01-01,1327.32,80.610
1919-02-01,1422.35,84.810
1919-03-01,1471.98,88.850
1919-04-01,1511.06,92.880
1919-05-01,1696.12,105.500
1919-06-01,1719.92,106.980
1919-07-01,1673.30,107.160
1919-08-01,1607.91,104.750
1919-09-01,1700.71,111.420
1919-10-01,1785.11,118.920
1919-11-01,1523.23,103.720
1919-12-01,1541.43,107.230
1920-01-01,1467.07,104.210
1920-02-01,1270.41,91.180
1920-03-01,1417.96,102.810
1920-04-01,1251.94,93.540
1920-05-01,1210.88,91.810
1920-06-01,1179.88,90.760
1920-07-01,1134.43,86.850
1920-08-01,1153.17,86.160
1920-09-01,1126.88,82.950
1920-10-01,1161.60,85.080
1920-11-01,1043.42,76.040
1920-12-01,1007.66,71.950
1921-01-01,1088.66,76.130
1921-02-01,1107.15,74.980
1921-03-01,1124.81,75.760
1921-04-01,1179.41,78.570
1921-05-01,1127.30,73.440
1921-06-01,1056.66,68.450
1921-07-01,1049.48,68.370
1921-08-01,1030.14,67.110
1921-09-01,1103.52,71.080
1921-10-01,1136.59,73.210
1921-11-01,1207.04,77.300
1921-12-01,1268.96,80.800
1922-01-01,1307.06,81.300
1922-02-01,1373.94,85.460
1922-03-01,1448.75,89.050
1922-04-01,1495.61,91.930
1922-05-01,1562.31,96.030
1922-06-01,1511.88,92.930
1922-07-01,1569.49,97.050
1922-08-01,1649.47,100.780
1922-09-01,1589.56,97.120
1922-10-01,1563.61,96.110
1922-11-01,1530.68,94.650
1922-12-01,1578.28,98.170
1923-01-01,1575.64,97.430
1923-02-01,1680.27,103.900
1923-03-01,1662.00,102.770
1923-04-01,1581.66,98.380
1923-05-01,1567.99,97.530
1923-06-01,1412.81,88.400
1923-07-01,1372.83,86.910
1923-08-01,1484.99,93.460
1923-09-01,1389.57,87.970
1923-10-01,1390.36,88.530
1923-11-01,1450.20,92.340
1923-12-01,1500.14,95.520
1924-01-01,1580.87,100.660
1924-02-01,1543.11,97.690
1924-03-01,1466.24,92.280
1924-04-01,1448.45,90.630
1924-05-01,1436.78,89.900
1924-06-01,1540.19,96.370
1924-07-01,1622.90,102.140
1924-08-01,1664.37,104.140
1924-09-01,1639.11,103.160
1924-10-01,1643.73,104.060
1924-11-01,1754.94,111.100
1924-12-01,1892.61,120.510
1925-01-01,1939.41,123.490
1925-02-01,1930.90,122.240
1925-03-01,1833.56,116.750
1925-04-01,1895.68,120.010
1925-05-01,2040.86,129.950
1925-06-01,2033.93,131.010
1925-07-01,2053.98,133.810
1925-08-01,2167.11,141.180
1925-09-01,2202.11,143.460
1925-10-01,2389.23,155.650
1925-11-01,2280.40,151.080
1925-12-01,2293.24,151.080
1926-01-01,2388.42,157.350
1926-02-01,2347.89,154.680
1926-03-01,2143.98,140.460
1926-04-01,2181.37,143.710
1926-05-01,2189.32,143.430
1926-06-01,2349.16,153.040
1926-07-01,2486.79,160.180
1926-08-01,2537.59,162.510
1926-09-01,2455.90,158.190
1926-10-01,2327.28,150.760
1926-11-01,2403.04,156.550
1926-12-01,2413.02,157.200
1927-01-01,2428.27,156.410
1927-02-01,2529.01,161.960
1927-03-01,2514.06,160.080
1927-04-01,2585.67,164.640
1927-05-01,2700.77,172.960
1927-06-01,2566.09,166.230
1927-07-01,2848.89,181.400
1927-08-01,2997.92,189.790
1927-09-01,3103.15,197.590
1927-10-01,2837.71,181.730
1927-11-01,3112.89,198.210
1927-12-01,3151.99,200.700
1928-01-01,3118.86,198.590
1928-02-01,3094.86,194.780
1928-03-01,3407.40,214.450
1928-04-01,3362.59,211.630
1928-05-01,3472.12,219.810
1928-06-01,3342.57,210.370
1928-07-01,3432.02,216.000
1928-08-01,3819.87,240.410
1928-09-01,3728.05,237.380
1928-10-01,3983.12,252.160
1928-11-01,4634.23,293.380
1928-12-01,4766.70,300.000
1929-01-01,5044.92,317.510
